year,region,size_estabish,value,size_rank
2542,Bangkok,<60,297061700.0,1
2544,Bangkok,<60,316149600.0,1
2546,Bangkok,<60,292475000.0,1
2548,Bangkok,<60,318711400.0,1
2550,Bangkok,<60,443951100.0,1
2552,Bangkok,<60,224764600.0,1
2554,Bangkok,<60,2701273300.0,1
2556,Bangkok,<60,2158830400.0,1
2558,Bangkok,<60,2785766400.0,1
2542,Bangkok,60-149,1071065899.9999999,2
2544,Bangkok,60-149,886034000.0,2
2546,Bangkok,60-149,902239000.0,2
2548,Bangkok,60-149,1083704900.0,2
2550,Bangkok,60-149,1782025300.0,2
2552,Bangkok,60-149,2072268700.0,2
2554,Bangkok,60-149,5655252500.0,2
2556,Bangkok,60-149,6620012700.0,2
2558,Bangkok,60-149,16872941700.0,2
2542,Bangkok,>150,23302000000.0,3
2544,Bangkok,>150,28463879300.0,3
2546,Bangkok,>150,32816533200.0,3
2548,Bangkok,>150,28439255200.0,3
2550,Bangkok,>150,39971654600.0,3
2552,Bangkok,>150,25959080700.0,3
2554,Bangkok,>150,24790840500.0,3
2556,Bangkok,>150,39595939200.0,3
2558,Bangkok,>150,42655137500.0,3
2542,Central,<60,437486900.0,1
2544,Central,<60,625698300.0,1
2546,Central,<60,550262000.0,1
2548,Central,<60,560479900.0,1
2550,Central,<60,741665000.0,1
2552,Central,<60,3478618600.0,1
2554,Central,<60,10896975800.0,1
2556,Central,<60,5983787200.0,1
2558,Central,<60,6678685800.0,1
2542,Central,60-149,1108922000.0,2
2544,Central,60-149,956656500.0,2
2546,Central,60-149,1300789500.0,2
2548,Central,60-149,1633675600.0,2
2550,Central,60-149,1548186000.0,2
2552,Central,60-149,5033557600.0,2
2554,Central,60-149,7590864300.0,2
2556,Central,60-149,7205202200.0,2
2558,Central,60-149,7613535400.0,2
2542,Central,>150,4067598800.0,3
2544,Central,>150,3609180000.0,3
2546,Central,>150,5358387800.0,3
2548,Central,>150,7010230300.0,3
2550,Central,>150,6135815300.0,3
2552,Central,>150,12016568800.0,3
2554,Central,>150,15356327600.0,3
2556,Central,>150,17879191300.0,3
2558,Central,>150,18998942200.0,3
2542,Northern,<60,368500000.0,1
2544,Northern,<60,440488200.0,1
2546,Northern,<60,502565000.0,1
2548,Northern,<60,514315700.0,1
2550,Northern,<60,568299500.0,1
2552,Northern,<60,1189357700.0,1
2554,Northern,<60,6397835600.0,1
2556,Northern,<60,5117373800.0,1
2558,Northern,<60,4043685400.0,1
2542,Northern,60-149,958802200.0,2
2544,Northern,60-149,986589900.0,2
2546,Northern,60-149,867307500.0,2
2548,Northern,60-149,1037810200.0,2
2550,Northern,60-149,900110600.0,2
2552,Northern,60-149,1688812100.0,2
2554,Northern,60-149,4438094900.0,2
2556,Northern,60-149,3485563100.0,2
2558,Northern,60-149,3646144400.0,2
2542,Northern,>150,1761168000.0,3
2544,Northern,>150,3290520100.0,3
2546,Northern,>150,2756864400.0,3
2548,Northern,>150,2465292400.0,3
2550,Northern,>150,2964913400.0,3
2552,Northern,>150,2206251800.0,3
2554,Northern,>150,6255824200.0,3
2556,Northern,>150,3608826700.0,3
2558,Northern,>150,3753941900.0,3
2542,Northeastern,<60,236552800.0,1
2544,Northeastern,<60,222393400.0,1
2546,Northeastern,<60,281160300.0,1
2548,Northeastern,<60,256374400.0,1
2550,Northeastern,<60,319957300.0,1
2552,Northeastern,<60,1230419000.0,1
2554,Northeastern,<60,3259085000.0,1
2556,Northeastern,<60,1715851900.0,1
2558,Northeastern,<60,2557557400.0,1
2542,Northeastern,60-149,1528900000.0,2
2544,Northeastern,60-149,781065300.0,2
2546,Northeastern,60-149,641643700.0,2
2548,Northeastern,60-149,906208500.0,2
2550,Northeastern,60-149,1425518200.0,2
2552,Northeastern,60-149,1726217100.0,2
2554,Northeastern,60-149,2904427700.0,2
2556,Northeastern,60-149,1870461300.0,2
2558,Northeastern,60-149,1824600400.0,2
2542,Northeastern,>150,398749300.0,3
2544,Northeastern,>150,462031600.0,3
2546,Northeastern,>150,1071394300.0,3
2548,Northeastern,>150,970817800.0,3
2550,Northeastern,>150,1375705100.0,3
2552,Northeastern,>150,4253249800.0,3
2554,Northeastern,>150,2415278300.0,3
2556,Northeastern,>150,3150736100.0,3
2558,Northeastern,>150,2028213500.0,3
2542,Southern,<60,1566940000.0,1
2544,Southern,<60,689523500.0,1
2546,Southern,<60,1632486200.0,1
2548,Southern,<60,1668639200.0,1
2550,Southern,<60,1839213300.0,1
2552,Southern,<60,4341487800.0,1
2554,Southern,<60,26698572800.0,1
2556,Southern,<60,10250461200.0,1
2558,Southern,<60,14936135900.0,1
2542,Southern,60-149,3032025500.0,2
2544,Southern,60-149,2811362400.0,2
2546,Southern,60-149,3536366300.0,2
2548,Southern,60-149,3121572800.0,2
2550,Southern,60-149,4696880100.0,2
2552,Southern,60-149,6760384200.0,2
2554,Southern,60-149,12340713500.0,2
2556,Southern,60-149,8531461500.0,2
2558,Southern,60-149,16060044900.0,2
2542,Southern,>150,6374509800.0,3
2544,Southern,>150,3198934100.0,3
2546,Southern,>150,5467239000.0,3
2548,Southern,>150,7552348100.0,3
2550,Southern,>150,9014235000.0,3
2552,Southern,>150,23667391400.0,3
2554,Southern,>150,18832569300.0,3
2556,Southern,>150,44307960000.0,3
2558,Southern,>150,30561545700.0,3
