year,region,value,size_rank,tourists_mn
2542,Bangkok,297061700.0,1,3374540
2544,Bangkok,316149600.0,1,3950714
2546,Bangkok,292475000.0,1,5131993
2548,Bangkok,318711400.0,1,4998658
2550,Bangkok,443951100.0,1,4556018
2552,Bangkok,224764600.0,1,7355994
2554,Bangkok,2701273300.0,1,7258083
2556,Bangkok,2158830400.0,1,12616176
2558,Bangkok,2785766400.0,1,12351115
2542,Bangkok,1071065899.9999999,2,3708072
2544,Bangkok,886034000.0,2,3020584
2546,Bangkok,902239000.0,2,5369909
2548,Bangkok,1083704900.0,2,5232442
2550,Bangkok,1782025300.0,2,4612339
2552,Bangkok,2072268700.0,2,7381824
2554,Bangkok,5655252500.0,2,7383404
2556,Bangkok,6620012700.0,2,12054242
2558,Bangkok,16872941700.0,2,12274756
2542,Bangkok,23302000000.0,3,3431945
2544,Bangkok,28463879300.0,3,3291229
2546,Bangkok,32816533200.0,3,5011852
2548,Bangkok,28439255200.0,3,4539493
2550,Bangkok,39971654600.0,3,4692144
2552,Bangkok,25959080700.0,3,7566361
2554,Bangkok,24790840500.0,3,7656069
2556,Bangkok,39595939200.0,3,12535175
2558,Bangkok,42655137500.0,3,11949673
2542,Central,437486900.0,1,1514234
2544,Central,625698300.0,1,1592414
2546,Central,550262000.0,1,1646450
2548,Central,560479900.0,1,2207544
2550,Central,741665000.0,1,1770524
2552,Central,3478618600.0,1,2865051
2554,Central,10896975800.0,1,3748885
2556,Central,5983787200.0,1,5715632
2558,Central,6678685800.0,1,5558397
2542,Central,1108922000.0,2,1304613
2544,Central,956656500.0,2,1097672
2546,Central,1300789500.0,2,2284233
2548,Central,1633675600.0,2,2040152
2550,Central,1548186000.0,2,1722038
2552,Central,5033557600.0,2,3295176
2554,Central,7590864300.0,2,2834388
2556,Central,7205202200.0,2,5659320
2558,Central,7613535400.0,2,5008779
2542,Central,4067598800.0,3,1662522
2544,Central,3609180000.0,3,1311711
2546,Central,5358387800.0,3,2120068
2548,Central,7010230300.0,3,2146710
2550,Central,6135815300.0,3,1784854
2552,Central,12016568800.0,3,3769584
2554,Central,15356327600.0,3,3575132
2556,Central,17879191300.0,3,5689498
2558,Central,18998942200.0,3,5644827
2542,Northern,368500000.0,1,1597899
2544,Northern,440488200.0,1,1921874
2546,Northern,502565000.0,1,1688492
2548,Northern,514315700.0,1,1795982
2550,Northern,568299500.0,1,1645227
2552,Northern,1189357700.0,1,3125330
2554,Northern,6397835600.0,1,3188677
2556,Northern,5117373800.0,1,5021349
2558,Northern,4043685400.0,1,5578737
2542,Northern,958802200.0,2,1356753
2544,Northern,986589900.0,2,1280934
2546,Northern,867307500.0,2,2142696
2548,Northern,1037810200.0,2,1740924
2550,Northern,900110600.0,2,2402196
2552,Northern,1688812100.0,2,2874550
2554,Northern,4438094900.0,2,3786886
2556,Northern,3485563100.0,2,5522244
2558,Northern,3646144400.0,2,4948715
2542,Northern,1761168000.0,3,1005522
2544,Northern,3290520100.0,3,1815461
2546,Northern,2756864400.0,3,2306857
2548,Northern,2465292400.0,3,2329007
2550,Northern,2964913400.0,3,2371270
2552,Northern,2206251800.0,3,2874044
2554,Northern,6255824200.0,3,3158465
2556,Northern,3608826700.0,3,4865869
2558,Northern,3753941900.0,3,5613103
2542,Northeastern,236552800.0,1,1123298
2544,Northeastern,222393400.0,1,830898
2546,Northeastern,281160300.0,1,963558
2548,Northeastern,256374400.0,1,1210982
2550,Northeastern,319957300.0,1,1225183
2552,Northeastern,1230419000.0,1,2429606
2554,Northeastern,3259085000.0,1,2337557
2556,Northeastern,1715851900.0,1,3887212
2558,Northeastern,2557557400.0,1,3472214
2542,Northeastern,1528900000.0,2,619594
2544,Northeastern,781065300.0,2,1213244
2546,Northeastern,641643700.0,2,1660785
2548,Northeastern,906208500.0,2,1461277
2550,Northeastern,1425518200.0,2,1670967
2552,Northeastern,1726217100.0,2,2193795
2554,Northeastern,2904427700.0,2,2222732
2556,Northeastern,1870461300.0,2,3427541
2558,Northeastern,1824600400.0,2,3025419
2542,Northeastern,398749300.0,3,607891
2544,Northeastern,462031600.0,3,531429
2546,Northeastern,1071394300.0,3,1536410
2548,Northeastern,970817800.0,3,1214355
2550,Northeastern,1375705100.0,3,1408570
2552,Northeastern,4253249800.0,3,2607566
2554,Northeastern,2415278300.0,3,1949292
2556,Northeastern,3150736100.0,3,3410382
2558,Northeastern,2028213500.0,3,3755551
2542,Southern,1566940000.0,1,2228798
2544,Southern,689523500.0,1,2076979
2546,Southern,1632486200.0,1,3289751
2548,Southern,1668639200.0,1,3161221
2550,Southern,1839213300.0,1,3929697
2552,Southern,4341487800.0,1,5808120
2554,Southern,26698572800.0,1,5633403
2556,Southern,10250461200.0,1,9121460
2558,Southern,14936135900.0,1,9053672
2542,Southern,3032025500.0,2,2186570
2544,Southern,2811362400.0,2,2892558
2546,Southern,3536366300.0,2,3539342
2548,Southern,3121572800.0,2,3807440
2550,Southern,4696880100.0,2,3896091
2552,Southern,6760384200.0,2,5318003
2554,Southern,12340713500.0,2,5110051
2556,Southern,8531461500.0,2,8477935
2558,Southern,16060044900.0,2,8677107
2542,Southern,6374509800.0,3,2818014
2544,Southern,3198934100.0,3,2860730
2546,Southern,5467239000.0,3,3006952
2548,Southern,7552348100.0,3,3510747
2550,Southern,9014235000.0,3,3417411
2552,Southern,23667391400.0,3,5222107
2554,Southern,18832569300.0,3,5119865
2556,Southern,44307960000.0,3,8587615
2558,Southern,30561545700.0,3,9192909
